Id,SaleCondition,LotArea,OverallQual,OverallCond,YearRemodAdd,MasVnrArea,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageArea,SalePrice
1,Normal,8450,7,5,2003,196,1710,1,0,2,1,3,0,548,208500
2,Normal,9600,6,8,1976,0,1262,0,1,2,0,3,1,460,181500
3,Normal,11250,7,5,2002,162,1786,1,0,2,1,3,1,608,223500
4,Abnorml,9550,7,5,1970,0,1717,1,0,1,0,3,1,642,140000
5,Normal,14260,8,5,2000,350,2198,1,0,2,1,4,1,836,250000
6,Normal,14115,5,5,1995,0,1362,1,0,1,1,1,0,480,143000
7,Normal,10084,8,5,2005,186,1694,1,0,2,0,3,1,636,307000
8,Normal,10382,7,6,1973,240,2090,1,0,2,1,3,2,484,200000
9,Abnorml,6120,7,5,1950,0,1774,0,0,2,0,2,2,468,129900
10,Normal,7420,5,6,1950,0,1077,1,0,1,0,2,2,205,118000
11,Normal,11200,5,5,1965,0,1040,1,0,1,0,3,0,384,129500
12,Partial,11924,9,5,2006,286,2324,1,0,3,0,4,2,736,345000
13,Normal,12968,5,6,1962,0,912,1,0,1,0,2,0,352,144000
14,Partial,10652,7,5,2007,306,1494,0,0,2,0,3,1,840,279500
15,Normal,10920,6,5,1960,212,1253,1,0,1,1,2,1,352,157000
16,Normal,6120,7,8,2001,0,854,0,0,1,0,2,0,576,132000
17,Normal,11241,6,7,1970,180,1004,1,0,1,0,2,1,480,149000
18,Normal,10791,4,5,1967,0,1296,0,0,2,0,2,0,516,90000
19,Normal,13695,5,5,2004,0,1114,1,0,1,1,3,0,576,159000
20,Abnorml,7560,5,6,1965,0,1339,0,0,1,0,3,0,294,139000
21,Partial,14215,8,5,2006,380,2376,0,0,3,1,4,1,853,325300
22,Normal,7449,7,7,1950,0,1108,0,0,1,0,3,1,280,139400
23,Normal,9742,8,5,2002,281,1795,0,0,2,0,3,1,534,230000
24,Normal,4224,5,7,1976,0,1060,1,0,1,0,3,1,572,129900
25,Normal,8246,5,8,2001,0,1060,1,0,1,0,3,1,270,154000
26,Normal,14230,8,5,2007,640,1600,0,0,2,0,3,1,890,256300
27,Normal,7200,5,7,2000,0,900,0,1,1,0,3,0,576,134800
28,Normal,11478,8,5,2008,200,1704,1,0,2,0,3,1,772,306000
29,Normal,16321,5,6,1997,0,1600,1,0,1,0,2,2,319,207500
30,Normal,6324,4,6,1950,0,520,0,0,1,0,1,0,240,68500
31,Normal,8500,4,4,1950,0,1317,0,0,1,0,3,0,250,40000
32,Normal,8544,5,6,2006,0,1228,0,0,1,1,3,0,271,149350
33,Normal,11049,8,5,2007,0,1234,0,0,2,0,3,0,484,179900
34,Normal,10552,5,5,1959,0,1700,0,1,1,1,4,1,447,165500
35,Normal,7313,9,5,2005,246,1561,1,0,2,0,2,1,556,277500
36,Normal,13418,8,5,2005,132,2452,0,0,3,1,4,1,691,309000
37,Normal,10859,5,5,1995,0,1097,0,0,1,1,3,0,672,145000
38,Normal,8532,5,6,1990,650,1297,0,1,1,0,3,1,498,153000
39,Abnorml,7922,5,7,2007,0,1057,1,0,1,0,3,0,246,109000
40,AdjLand,6040,4,5,1955,0,1152,0,0,2,0,2,0,0,82000
41,Abnorml,8658,6,5,1965,101,1324,0,0,2,0,3,1,440,160000
42,Normal,16905,5,6,1959,0,1328,0,1,1,1,2,2,308,170000
43,Normal,9180,5,7,1983,0,884,1,0,1,0,2,0,504,144000
44,Normal,9200,5,6,1980,0,938,1,0,1,0,3,0,308,130250
45,Normal,7945,5,6,1959,0,1150,1,0,1,0,3,0,300,141000
46,Normal,7658,9,5,2005,412,1752,1,0,2,0,2,1,576,319900
47,Abnorml,12822,7,5,2003,0,2149,1,0,1,1,1,1,670,239686
48,Normal,11096,8,5,2006,0,1656,0,0,2,0,3,0,826,249700
49,Partial,4456,4,5,2008,0,1452,0,0,2,0,2,0,0,113000
50,Normal,7742,5,7,1966,0,955,1,0,1,0,3,0,386,127000
51,Normal,13869,6,6,1997,0,1470,0,1,2,0,3,0,388,177000
52,Normal,6240,6,6,1950,0,1176,0,0,1,0,3,1,528,114500
53,Normal,8472,5,5,1963,0,816,1,0,1,0,2,0,516,110000
54,Normal,50271,9,5,1987,0,1842,2,0,0,1,0,1,894,385000
55,Normal,7134,5,5,1955,0,1360,0,0,1,0,3,1,572,130000
56,Normal,10175,6,5,1964,272,1425,0,0,2,0,3,1,576,180500
57,Abnorml,2645,8,5,2000,456,1739,1,0,2,1,3,0,480,172500
58,Normal,11645,7,5,2004,0,1720,0,0,2,1,3,0,565,196500
59,Partial,13682,10,5,2006,1031,2945,0,0,3,1,3,1,641,438780
60,Normal,7200,5,7,1972,0,780,0,0,1,0,2,0,352,124900
61,Partial,13072,6,5,2004,0,1158,1,0,1,1,3,0,576,158000
62,Normal,7200,5,7,1996,0,1111,0,0,1,0,3,0,288,101000
63,Normal,6442,8,5,2006,178,1370,0,0,2,0,2,1,484,202500
64,Normal,10300,7,6,1950,0,1710,0,0,2,0,3,0,480,140000
65,Normal,9375,7,5,1998,573,2034,1,0,2,1,3,0,645,219500
66,Normal,9591,8,5,2005,344,2473,0,0,2,1,4,1,852,317000
67,Normal,19900,7,5,1989,287,2207,1,0,2,0,3,1,576,180000
68,Normal,10665,7,5,2003,167,1479,1,0,2,0,3,0,558,226000
69,Normal,4608,4,6,1950,0,747,0,0,1,0,2,0,220,80000
70,Normal,15593,7,4,1953,0,2287,0,0,2,0,3,1,667,225000
71,Normal,13651,7,6,1973,1115,2223,1,0,2,0,3,2,516,244000
72,Normal,7599,4,6,2006,0,845,1,0,1,0,2,0,360,129500
73,Normal,10141,7,5,1998,40,1718,0,0,2,1,3,1,427,185000
74,Normal,10200,5,7,2003,104,1086,1,0,1,0,3,0,490,144900
75,Normal,5790,3,6,1950,0,1605,0,0,2,0,3,0,379,107400
76,Normal,1596,4,5,1973,0,988,1,0,1,0,2,0,297,91000
77,Normal,8475,4,7,1956,0,952,0,0,1,0,2,0,283,135750
78,Normal,8635,5,5,2001,0,1285,1,0,1,0,2,0,240,127000
79,Normal,10778,4,5,1968,0,1768,0,0,2,0,4,0,0,136500
80,Normal,10440,5,6,1981,0,1230,0,0,1,1,2,0,440,110000
81,Normal,13000,6,6,1968,576,2142,0,0,2,1,4,1,509,193500
82,Normal,4500,6,5,1998,443,1337,1,0,2,0,2,0,405,153500
83,Normal,10206,8,5,2007,468,1563,0,0,2,0,3,1,758,245000
84,Normal,8892,5,5,1960,66,1065,0,0,1,1,3,0,461,126500
85,Normal,8530,7,5,1996,22,1474,0,0,2,1,3,1,400,168500
86,Normal,16059,8,5,1992,284,2417,0,0,2,1,4,1,462,260000
87,Normal,11911,6,5,2005,0,1560,0,0,2,1,3,1,400,174000
88,Partial,3951,6,5,2009,76,1224,0,0,2,1,2,0,528,164500
89,Abnorml,8470,3,2,1982,0,1526,0,0,1,0,2,0,0,85000
90,Normal,8070,4,5,1995,0,990,1,0,1,0,3,0,0,123600
91,Normal,7200,4,5,1950,0,1040,0,0,1,0,2,0,420,109900
92,Abnorml,8500,5,3,1961,203,1235,0,0,1,0,2,0,480,98600
93,Normal,13360,5,7,2006,0,964,1,0,1,0,2,0,432,163500
94,Normal,7200,6,6,1998,0,2291,0,1,2,0,4,1,506,133900
95,Normal,9337,6,5,1997,0,1786,1,0,2,1,3,0,684,204750
96,Normal,9765,6,8,1993,68,1470,0,0,2,1,3,1,420,185000
97,Normal,10264,7,5,1999,183,1588,0,0,2,0,3,0,472,214000
98,Normal,10921,4,5,1965,48,960,1,0,1,0,3,0,432,94750
99,Abnorml,10625,5,5,1950,0,835,0,0,1,0,2,0,366,83000
100,Normal,9320,4,5,1959,0,1225,1,0,1,1,3,0,0,128950
101,Normal,10603,6,7,2001,28,1610,1,0,2,0,3,2,480,205000
102,Normal,9206,6,5,1985,336,1732,0,0,2,1,3,1,476,178000
103,Alloca,7018,5,5,1979,0,1535,0,0,2,0,4,0,410,118964
104,Normal,10402,7,5,2009,0,1226,0,0,2,0,3,0,740,198900
105,Normal,7758,7,4,1950,600,1818,0,0,1,1,4,2,240,169500
106,Normal,9375,8,5,2004,768,1992,0,0,2,1,3,1,648,250000
107,Normal,10800,4,7,1995,0,1047,0,0,1,0,2,0,273,100000
108,Partial,6000,5,5,1950,0,789,0,0,1,0,2,0,250,115000
109,Normal,8500,5,7,2005,0,1517,0,0,2,0,3,0,0,115000
110,Normal,11751,6,6,1977,480,1844,0,0,2,0,3,1,546,190000
111,Normal,9525,6,4,1972,0,1855,0,0,2,0,4,0,325,136900
112,Normal,7750,7,5,2000,0,1430,0,0,2,1,3,1,400,180000
113,Partial,9965,7,5,2007,220,2696,1,0,2,1,4,1,792,383970
114,Abnorml,21000,6,5,1953,184,2259,1,0,2,0,3,2,450,217000
115,Normal,7259,6,8,2002,0,2320,1,0,2,1,3,1,180,259500
116,Normal,3230,6,5,1999,1129,1458,0,0,2,1,2,1,440,176000
117,Normal,11616,5,5,1962,116,1092,0,1,1,0,3,1,288,139000
118,Partial,8536,5,5,2007,0,1125,0,0,1,1,2,0,430,155000
119,Normal,12376,7,5,1990,0,3222,1,0,3,0,5,2,594,320000
120,Partial,8461,6,5,2006,0,1456,0,0,2,1,3,1,390,163990
121,Normal,21453,6,5,1969,0,988,1,0,1,0,1,2,540,180000
122,Normal,6060,4,5,1950,0,1123,0,0,1,0,3,0,264,100000
123,Normal,9464,6,7,1958,135,1080,0,0,1,0,3,0,288,136000
124,Normal,7892,6,5,1993,0,1199,0,0,2,0,2,0,530,153900
125,Normal,17043,6,5,1998,0,1586,0,0,2,0,3,1,435,181000
126,Normal,6780,6,8,1982,0,754,1,0,1,0,2,0,0,84500
127,Normal,4928,6,5,1976,0,958,0,0,2,0,2,1,440,128000
128,Normal,4388,5,7,1950,0,840,0,0,1,0,3,1,0,87000
129,Normal,7590,6,5,1966,266,1348,0,0,1,1,3,1,453,155000
130,Abnorml,8973,5,7,1991,85,1053,0,1,1,1,3,0,750,150000
131,Normal,14200,7,6,1966,309,2157,0,0,2,1,4,2,487,226000
132,Normal,12224,6,5,2000,40,2054,1,0,2,1,3,1,390,244000
133,Normal,7388,5,6,2002,0,1327,1,0,1,0,3,0,624,150750
134,Normal,6853,8,5,2002,136,1296,1,0,2,0,2,0,471,220000
135,Normal,10335,5,6,1993,0,1721,0,0,2,1,3,1,440,180000
136,Normal,10400,7,6,1970,288,1682,0,0,2,0,3,1,530,174000
137,Normal,10355,5,5,1967,196,1214,0,0,2,0,3,1,318,143000
138,Family,11070,7,5,1989,70,1959,0,0,3,0,5,0,766,171000
139,Normal,9066,8,5,2000,320,1852,0,0,2,1,3,2,660,230000
140,Normal,15426,6,5,1997,0,1764,1,0,2,1,3,0,470,231500
141,Normal,10500,4,5,1971,0,864,0,0,1,0,3,1,0,115000
142,Normal,11645,7,5,2005,0,1734,1,0,2,0,3,0,660,260000
143,Normal,8520,5,4,1952,0,1385,0,0,2,0,4,0,720,166000
144,Normal,10335,7,5,1999,183,1501,1,0,2,0,3,0,577,204000
145,Abnorml,9100,5,5,1963,336,1728,1,0,2,0,6,0,504,125000
146,Normal,2522,6,5,2006,50,1709,0,0,2,0,3,0,380,130000
147,Normal,6120,5,7,1993,0,875,1,0,1,0,2,0,180,105000
148,Normal,9505,7,5,2001,180,2035,0,0,2,1,3,1,434,222500
149,Normal,7500,7,5,2005,120,1080,1,0,1,0,3,0,0,141000
150,Normal,6240,5,4,1950,0,1344,0,0,1,0,3,0,240,115000
151,Normal,10356,5,6,1975,0,969,0,0,1,1,3,0,440,122000
152,Partial,13891,8,5,2008,436,1710,1,0,2,0,2,1,866,372402
153,Normal,14803,6,5,1971,252,1993,0,0,2,1,4,1,495,190000
154,Normal,13500,6,7,1975,0,1252,1,0,1,0,1,1,564,235000
155,Family,11340,6,5,1950,0,1200,0,0,1,0,4,0,312,125000
156,Normal,9600,6,5,1950,0,1096,0,0,1,0,2,0,0,79000
157,Normal,7200,5,7,1950,0,1040,0,0,1,0,2,0,625,109500
158,Partial,12003,8,5,2010,84,1968,0,0,2,1,4,1,680,269500
159,Normal,12552,7,5,2005,0,1947,0,0,2,1,3,1,678,254900
160,Partial,19378,7,5,2006,456,2462,1,0,2,1,4,1,576,320000
161,Normal,11120,6,6,1984,0,1232,0,0,2,0,3,0,516,162500
162,Normal,13688,9,5,2004,664,2668,1,0,2,1,3,2,726,412500
163,Partial,12182,7,5,2005,226,1541,0,0,2,0,3,1,532,220000
164,Normal,5500,4,6,1956,0,882,0,0,1,0,1,0,0,103200
165,Normal,5400,6,7,2004,0,1616,0,0,2,0,3,0,216,152000
166,Normal,10106,5,7,1999,0,1355,1,0,2,0,4,0,0,127500
167,Normal,10708,5,5,1993,0,1867,1,0,1,0,2,3,303,190000
168,Partial,10562,8,5,2007,300,2161,1,0,1,1,3,1,789,325624
169,Normal,8244,7,5,2004,0,1720,0,0,2,1,3,1,440,183500
170,Normal,16669,8,6,1981,653,1707,0,0,2,1,2,1,511,228000
171,Normal,12358,5,6,1950,0,1382,0,0,1,1,2,0,660,128500
172,Normal,31770,6,5,1960,112,1656,1,0,1,0,3,2,528,215000
173,Normal,5306,7,7,1987,0,1767,1,0,2,0,2,1,504,239000
174,Normal,10197,6,5,1961,491,1362,1,0,1,1,3,1,504,163000
175,Normal,12416,6,5,1986,132,1651,1,0,2,0,3,1,616,184000
176,Normal,12615,6,7,2001,0,2158,1,0,2,0,4,1,576,243000
177,Normal,10029,6,5,1989,268,2060,0,1,2,1,4,1,521,211000
178,Normal,13650,5,5,1958,0,1920,1,0,2,0,4,1,451,172500
179,Partial,17423,9,5,2009,748,2234,1,0,2,0,1,1,1166,501837
180,Normal,8520,5,6,2006,0,968,0,0,1,0,2,0,480,100000
181,Normal,2117,6,5,2000,456,1525,0,0,2,1,3,1,440,177000
182,Normal,7588,7,6,1950,0,1802,0,0,1,1,4,1,216,200100
183,Normal,9060,5,6,2006,98,1340,0,0,1,0,3,1,252,120000
184,Normal,11426,7,5,2003,0,2082,0,0,2,1,3,0,484,200000
185,Normal,7438,5,8,1991,0,1252,0,0,1,0,3,0,576,127000
186,Normal,22950,10,9,1993,0,3608,0,0,2,1,4,2,840,475000
187,Normal,9947,7,5,1991,0,1217,1,0,2,0,3,0,497,173000
188,Normal,10410,5,7,1987,0,1656,0,0,2,1,3,0,180,135000
189,Alloca,7018,5,5,1979,275,1224,2,0,0,2,2,2,528,153337
190,Normal,4923,8,5,2002,0,1593,1,0,1,1,0,1,682,286000
191,Normal,10570,8,8,1994,0,2727,0,0,2,1,3,2,440,315000
192,Normal,7472,7,9,2004,138,1479,1,0,1,1,4,0,484,184000
193,Normal,9017,7,5,1999,0,1431,1,0,2,0,3,0,666,192000
194,Normal,2522,7,5,2004,50,1709,0,0,2,0,3,0,380,130000
195,Normal,7180,5,7,1972,0,864,0,0,1,0,3,0,352,127000
196,Normal,2280,6,6,1976,0,1456,0,0,2,1,3,1,440,148500
197,Partial,9416,7,5,2007,205,1726,1,0,2,0,3,1,786,311872
198,Abnorml,25419,8,4,1990,0,3112,1,1,2,0,4,1,795,235000
199,Abnorml,5520,6,6,1950,0,2229,0,0,1,0,5,0,0,104000
200,Normal,9591,8,5,2005,262,1713,1,0,2,0,3,1,856,274900
201,Normal,8546,4,5,2004,0,1121,0,0,2,0,2,0,440,140000
202,Normal,10125,6,6,1977,0,1279,0,1,2,0,3,2,473,171500
203,Normal,7000,6,6,1950,0,1310,0,0,2,0,2,0,398,112000
204,Normal,4438,6,5,2004,205,848,1,0,1,0,1,1,420,149000
205,Normal,3500,5,7,1950,0,1284,0,0,1,1,2,0,240,110000
206,Normal,11851,7,5,1990,0,1442,0,0,2,0,3,0,500,180500
207,Normal,13673,5,5,1962,0,1696,0,0,1,1,3,1,349,143900
208,Normal,12493,4,5,1960,0,1100,1,0,1,0,3,1,312,141000
209,Normal,14364,7,5,1989,128,2062,1,0,2,1,3,1,454,277000
210,Normal,8250,6,7,1964,260,1092,1,0,1,0,3,0,504,145000
211,Normal,5604,5,6,1950,0,864,1,0,1,0,2,0,0,98000
212,Normal,10420,6,5,2009,0,1212,0,0,2,0,3,0,460,186000
213,Partial,8640,7,5,2009,0,1852,1,0,2,1,3,1,644,252678
214,Normal,13568,5,5,1995,0,990,0,1,1,0,3,0,576,156000
215,Normal,10900,6,7,1977,153,1392,0,0,1,1,3,0,299,161750
216,Normal,10011,5,6,1996,64,1236,0,1,1,0,2,1,447,134450
217,Normal,8450,7,5,2004,266,1436,1,0,2,0,3,0,484,210000
218,Family,9906,4,4,1950,0,1328,0,0,1,0,3,0,210,107000
219,Normal,15660,7,9,2006,312,1954,0,1,1,1,3,2,431,311500
220,Partial,3010,7,5,2006,16,1248,0,0,2,0,2,0,438,167240
221,Partial,8990,7,5,2006,0,1498,0,0,2,0,2,0,675,204900
222,Normal,8068,6,5,2002,0,2267,0,0,2,1,4,1,390,200000
223,Normal,11475,6,6,1975,0,1552,1,0,2,1,3,1,434,179900
224,Abnorml,10500,4,6,1971,0,864,0,0,1,0,2,0,576,97000
225,Normal,13472,10,5,2003,922,2392,0,0,2,0,3,1,968,386250
226,Abnorml,1680,5,5,1971,142,1302,0,0,2,1,3,0,280,112000
227,Abnorml,9950,7,5,1995,290,2520,0,0,2,1,4,1,721,290000
228,Normal,1869,6,6,1970,127,987,0,0,1,1,2,0,280,106000
229,Normal,8521,5,5,1967,0,912,0,0,1,0,3,1,336,125000
230,Normal,3182,7,5,2006,16,1555,0,0,2,0,2,1,430,192500
231,Normal,8760,6,6,1959,220,1194,1,0,1,0,3,0,312,148000
232,Normal,15138,8,5,1996,506,2794,1,0,2,1,4,1,810,403000
233,Normal,1680,6,5,1972,297,987,0,0,1,1,2,1,288,94500
234,Normal,10650,5,6,1976,0,894,1,0,1,0,3,0,308,128200
235,Normal,7851,6,5,2002,,1960,1,0,2,1,4,2,440,216500
236,Normal,1680,6,3,1971,604,987,0,0,1,1,2,0,264,89500
237,Normal,8773,7,5,2004,98,1414,0,0,2,0,3,0,494,185500
238,Normal,9453,7,7,2003,0,1744,0,0,2,1,3,0,457,194500
239,Partial,12030,8,5,2007,254,1694,0,0,2,0,3,0,818,318000
240,Normal,8741,6,4,1950,0,1487,0,0,1,1,3,1,220,113000
241,Normal,9000,8,5,2008,36,1566,1,0,2,0,3,0,750,262500
242,Normal,3880,5,9,1997,0,866,0,0,1,0,2,0,0,110500
243,Normal,5000,5,4,1950,0,1440,0,0,1,0,3,0,352,79000
244,Normal,10762,6,6,1980,0,1217,0,0,1,1,3,1,288,120000
245,Normal,8880,7,5,2002,0,2110,1,0,2,1,3,2,463,205000
246,Normal,10400,7,5,1988,102,1872,0,1,2,0,3,1,604,241500
247,Normal,9142,6,8,1950,0,1928,0,0,2,0,4,0,440,137000
248,Normal,11310,6,5,1954,0,1375,0,0,1,0,2,1,451,140000
249,Normal,11317,7,5,2003,101,1668,0,0,2,1,3,0,500,180000
250,Normal,159000,6,7,2006,472,2144,0,1,2,0,4,2,389,277000
251,Normal,5350,3,2,1966,0,1306,0,0,1,0,3,0,0,76500
252,Family,4750,8,5,2007,481,1625,1,1,2,0,2,1,538,235000
253,Normal,8366,6,5,2004,0,1640,0,0,2,1,3,0,520,173000
254,Normal,9350,6,7,1991,108,1302,0,1,2,0,3,0,309,158000
255,Normal,8400,5,6,1957,0,1314,1,0,1,0,3,0,294,145000
256,Normal,8738,7,5,1999,302,2291,0,0,2,1,4,1,429,230000
257,Normal,8791,6,5,2003,0,1728,0,0,2,1,3,0,673,207500
258,Abnorml,8814,7,5,2006,180,1604,1,0,2,1,3,1,660,220000
259,Normal,12435,7,5,2001,172,1792,0,0,2,1,3,1,564,231500
260,Normal,12702,5,5,1956,0,882,0,0,1,0,2,0,308,97000
261,Normal,19296,6,5,1962,399,1382,1,0,1,0,3,1,884,176000
262,Partial,9588,8,5,2007,270,2574,0,0,2,1,3,1,868,276000
263,Normal,8471,6,7,1995,46,1212,1,0,1,0,3,1,492,151000
264,Normal,5500,5,7,2001,0,1316,1,0,1,0,3,0,484,130000
265,Normal,5232,5,5,2004,0,764,0,0,1,0,2,0,504,73000
266,Normal,12090,6,6,1981,210,1422,0,0,2,0,3,1,576,175500
267,Normal,11207,6,5,1997,0,1511,1,0,2,1,3,1,413,185000
268,Normal,8400,5,8,1997,0,2192,0,0,2,1,4,1,240,179500
269,Normal,6900,5,6,1955,0,778,0,0,1,0,2,1,924,120500
270,Normal,7917,6,7,1976,174,1113,1,0,1,1,3,1,504,148000
271,Partial,10728,8,5,2006,0,1939,0,0,2,1,3,1,1053,266000
272,Normal,39104,7,7,2005,0,1363,1,0,1,0,2,2,439,241500
273,Normal,11764,8,7,2007,348,2270,0,0,2,1,4,1,671,290000
274,Normal,9600,6,6,1988,183,1632,1,0,2,0,3,1,338,139000
275,Normal,8314,5,7,1982,0,816,0,0,1,0,2,0,264,124500
276,Normal,7264,7,7,2007,0,1548,0,0,2,1,3,0,672,205000
277,Normal,9196,7,5,2003,0,1560,0,0,2,0,3,0,573,201000
278,Normal,19138,4,5,1951,0,864,0,0,1,0,2,0,400,141000
279,Partial,14450,9,5,2007,315,2121,0,0,2,1,3,1,732,415298
280,Normal,10005,7,5,1977,299,2022,0,0,2,1,4,1,505,192000
281,Normal,11287,7,6,1989,340,1982,0,0,2,1,3,1,575,228500
282,Partial,7200,6,5,2006,68,1262,0,0,2,0,2,0,572,185000
283,Normal,5063,7,5,2008,166,1314,1,0,2,0,2,1,626,207500
284,Partial,9612,8,5,2009,72,1468,0,0,2,0,3,1,898,244600
285,Normal,8012,6,5,1992,0,1575,1,0,2,0,2,0,529,179200
286,Partial,4251,7,5,2007,0,1250,0,0,2,1,2,0,528,164700
287,Normal,9786,6,7,1981,0,1734,0,0,1,1,3,1,440,159000
288,Normal,8125,4,4,1971,0,858,0,0,1,0,3,0,0,88000
289,Normal,9819,5,5,1967,31,900,0,0,1,0,3,0,280,122000
290,Normal,8730,6,7,2003,0,1396,0,0,1,0,3,0,384,153575
291,Partial,15611,8,5,2006,0,1919,0,0,2,1,3,1,685,233230
292,Normal,5687,5,6,2000,0,1716,1,0,2,0,6,0,0,135900
