Id,Neighborhood,LotArea,OverallQual,OverallCond,YearRemodAdd,MasVnrArea,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,Fireplaces,GarageArea,SalePrice
1,CollgCr,8450,7,5,2003,196,1710,1,0,2,1,3,0,548,208500
2,Veenker,9600,6,8,1976,0,1262,0,1,2,0,3,1,460,181500
3,CollgCr,11250,7,5,2002,162,1786,1,0,2,1,3,1,608,223500
4,Crawfor,9550,7,5,1970,0,1717,1,0,1,0,3,1,642,140000
5,NoRidge,14260,8,5,2000,350,2198,1,0,2,1,4,1,836,250000
6,Mitchel,14115,5,5,1995,0,1362,1,0,1,1,1,0,480,143000
7,Somerst,10084,8,5,2005,186,1694,1,0,2,0,3,1,636,307000
8,NWAmes,10382,7,6,1973,240,2090,1,0,2,1,3,2,484,200000
9,OldTown,6120,7,5,1950,0,1774,0,0,2,0,2,2,468,129900
10,BrkSide,7420,5,6,1950,0,1077,1,0,1,0,2,2,205,118000
11,Sawyer,11200,5,5,1965,0,1040,1,0,1,0,3,0,384,129500
12,NridgHt,11924,9,5,2006,286,2324,1,0,3,0,4,2,736,345000
13,Sawyer,12968,5,6,1962,0,912,1,0,1,0,2,0,352,144000
14,CollgCr,10652,7,5,2007,306,1494,0,0,2,0,3,1,840,279500
15,NAmes,10920,6,5,1960,212,1253,1,0,1,1,2,1,352,157000
16,BrkSide,6120,7,8,2001,0,854,0,0,1,0,2,0,576,132000
17,NAmes,11241,6,7,1970,180,1004,1,0,1,0,2,1,480,149000
18,Sawyer,10791,4,5,1967,0,1296,0,0,2,0,2,0,516,90000
19,SawyerW,13695,5,5,2004,0,1114,1,0,1,1,3,0,576,159000
20,NAmes,7560,5,6,1965,0,1339,0,0,1,0,3,0,294,139000
21,NridgHt,14215,8,5,2006,380,2376,0,0,3,1,4,1,853,325300
22,IDOTRR,7449,7,7,1950,0,1108,0,0,1,0,3,1,280,139400
23,CollgCr,9742,8,5,2002,281,1795,0,0,2,0,3,1,534,230000
24,MeadowV,4224,5,7,1976,0,1060,1,0,1,0,3,1,572,129900
25,Sawyer,8246,5,8,2001,0,1060,1,0,1,0,3,1,270,154000
26,NridgHt,14230,8,5,2007,640,1600,0,0,2,0,3,1,890,256300
27,NAmes,7200,5,7,2000,0,900,0,1,1,0,3,0,576,134800
28,NridgHt,11478,8,5,2008,200,1704,1,0,2,0,3,1,772,306000
29,NAmes,16321,5,6,1997,0,1600,1,0,1,0,2,2,319,207500
30,BrkSide,6324,4,6,1950,0,520,0,0,1,0,1,0,240,68500
31,IDOTRR,8500,4,4,1950,0,1317,0,0,1,0,3,0,250,40000
32,Sawyer,8544,5,6,2006,0,1228,0,0,1,1,3,0,271,149350
33,CollgCr,11049,8,5,2007,0,1234,0,0,2,0,3,0,484,179900
34,NAmes,10552,5,5,1959,0,1700,0,1,1,1,4,1,447,165500
35,NridgHt,7313,9,5,2005,246,1561,1,0,2,0,2,1,556,277500
36,NridgHt,13418,8,5,2005,132,2452,0,0,3,1,4,1,691,309000
37,CollgCr,10859,5,5,1995,0,1097,0,0,1,1,3,0,672,145000
38,NAmes,8532,5,6,1990,650,1297,0,1,1,0,3,1,498,153000
39,NAmes,7922,5,7,2007,0,1057,1,0,1,0,3,0,246,109000
40,Edwards,6040,4,5,1955,0,1152,0,0,2,0,2,0,0,82000
41,NAmes,8658,6,5,1965,101,1324,0,0,2,0,3,1,440,160000
42,Timber,16905,5,6,1959,0,1328,0,1,1,1,2,2,308,170000
43,SawyerW,9180,5,7,1983,0,884,1,0,1,0,2,0,504,144000
44,CollgCr,9200,5,6,1980,0,938,1,0,1,0,3,0,308,130250
45,NAmes,7945,5,6,1959,0,1150,1,0,1,0,3,0,300,141000
46,NridgHt,7658,9,5,2005,412,1752,1,0,2,0,2,1,576,319900
47,Mitchel,12822,7,5,2003,0,2149,1,0,1,1,1,1,670,239686
48,Somerst,11096,8,5,2006,0,1656,0,0,2,0,3,0,826,249700
49,OldTown,4456,4,5,2008,0,1452,0,0,2,0,2,0,0,113000
50,Sawyer,7742,5,7,1966,0,955,1,0,1,0,3,0,386,127000
51,Gilbert,13869,6,6,1997,0,1470,0,1,2,0,3,0,388,177000
52,BrkSide,6240,6,6,1950,0,1176,0,0,1,0,3,1,528,114500
53,IDOTRR,8472,5,5,1963,0,816,1,0,1,0,2,0,516,110000
54,Veenker,50271,9,5,1987,0,1842,2,0,0,1,0,1,894,385000
55,NAmes,7134,5,5,1955,0,1360,0,0,1,0,3,1,572,130000
56,NAmes,10175,6,5,1964,272,1425,0,0,2,0,3,1,576,180500
57,Somerst,2645,8,5,2000,456,1739,1,0,2,1,3,0,480,172500
58,CollgCr,11645,7,5,2004,0,1720,0,0,2,1,3,0,565,196500
59,StoneBr,13682,10,5,2006,1031,2945,0,0,3,1,3,1,641,438780
60,CollgCr,7200,5,7,1972,0,780,0,0,1,0,2,0,352,124900
61,SawyerW,13072,6,5,2004,0,1158,1,0,1,1,3,0,576,158000
62,IDOTRR,7200,5,7,1996,0,1111,0,0,1,0,3,0,288,101000
63,NridgHt,6442,8,5,2006,178,1370,0,0,2,0,2,1,484,202500
64,OldTown,10300,7,6,1950,0,1710,0,0,2,0,3,0,480,140000
65,CollgCr,9375,7,5,1998,573,2034,1,0,2,1,3,0,645,219500
66,NridgHt,9591,8,5,2005,344,2473,0,0,2,1,4,1,852,317000
67,NAmes,19900,7,5,1989,287,2207,1,0,2,0,3,1,576,180000
68,CollgCr,10665,7,5,2003,167,1479,1,0,2,0,3,0,558,226000
69,OldTown,4608,4,6,1950,0,747,0,0,1,0,2,0,220,80000
70,ClearCr,15593,7,4,1953,0,2287,0,0,2,0,3,1,667,225000
71,NAmes,13651,7,6,1973,1115,2223,1,0,2,0,3,2,516,244000
72,Mitchel,7599,4,6,2006,0,845,1,0,1,0,2,0,360,129500
73,Gilbert,10141,7,5,1998,40,1718,0,0,2,1,3,1,427,185000
74,NAmes,10200,5,7,2003,104,1086,1,0,1,0,3,0,490,144900
75,OldTown,5790,3,6,1950,0,1605,0,0,2,0,3,0,379,107400
76,MeadowV,1596,4,5,1973,0,988,1,0,1,0,2,0,297,91000
77,NAmes,8475,4,7,1956,0,952,0,0,1,0,2,0,283,135750
78,BrkSide,8635,5,5,2001,0,1285,1,0,1,0,2,0,240,127000
79,Sawyer,10778,4,5,1968,0,1768,0,0,2,0,4,0,0,136500
80,OldTown,10440,5,6,1981,0,1230,0,0,1,1,2,0,440,110000
81,NAmes,13000,6,6,1968,576,2142,0,0,2,1,4,1,509,193500
82,Mitchel,4500,6,5,1998,443,1337,1,0,2,0,2,0,405,153500
83,Somerst,10206,8,5,2007,468,1563,0,0,2,0,3,1,758,245000
84,NAmes,8892,5,5,1960,66,1065,0,0,1,1,3,0,461,126500
85,Gilbert,8530,7,5,1996,22,1474,0,0,2,1,3,1,400,168500
86,NoRidge,16059,8,5,1992,284,2417,0,0,2,1,4,1,462,260000
87,Gilbert,11911,6,5,2005,0,1560,0,0,2,1,3,1,400,174000
88,Somerst,3951,6,5,2009,76,1224,0,0,2,1,2,0,528,164500
89,IDOTRR,8470,3,2,1982,0,1526,0,0,1,0,2,0,0,85000
90,CollgCr,8070,4,5,1995,0,990,1,0,1,0,3,0,0,123600
91,NAmes,7200,4,5,1950,0,1040,0,0,1,0,2,0,420,109900
92,NAmes,8500,5,3,1961,203,1235,0,0,1,0,2,0,480,98600
93,Crawfor,13360,5,7,2006,0,964,1,0,1,0,2,0,432,163500
94,OldTown,7200,6,6,1998,0,2291,0,1,2,0,4,1,506,133900
95,CollgCr,9337,6,5,1997,0,1786,1,0,2,1,3,0,684,204750
96,Gilbert,9765,6,8,1993,68,1470,0,0,2,1,3,1,420,185000
97,CollgCr,10264,7,5,1999,183,1588,0,0,2,0,3,0,472,214000
98,Edwards,10921,4,5,1965,48,960,1,0,1,0,3,0,432,94750
99,Edwards,10625,5,5,1950,0,835,0,0,1,0,2,0,366,83000
100,NAmes,9320,4,5,1959,0,1225,1,0,1,1,3,0,0,128950
101,NWAmes,10603,6,7,2001,28,1610,1,0,2,0,3,2,480,205000
102,SawyerW,9206,6,5,1985,336,1732,0,0,2,1,3,1,476,178000
103,SawyerW,7018,5,5,1979,0,1535,0,0,2,0,4,0,410,118964
104,CollgCr,10402,7,5,2009,0,1226,0,0,2,0,3,0,740,198900
105,IDOTRR,7758,7,4,1950,600,1818,0,0,1,1,4,2,240,169500
106,Somerst,9375,8,5,2004,768,1992,0,0,2,1,3,1,648,250000
107,OldTown,10800,4,7,1995,0,1047,0,0,1,0,2,0,273,100000
108,OldTown,6000,5,5,1950,0,789,0,0,1,0,2,0,250,115000
109,IDOTRR,8500,5,7,2005,0,1517,0,0,2,0,3,0,0,115000
110,NWAmes,11751,6,6,1977,480,1844,0,0,2,0,3,1,546,190000
111,Edwards,9525,6,4,1972,0,1855,0,0,2,0,4,0,325,136900
112,Gilbert,7750,7,5,2000,0,1430,0,0,2,1,3,1,400,180000
113,CollgCr,9965,7,5,2007,220,2696,1,0,2,1,4,1,792,383970
114,Crawfor,21000,6,5,1953,184,2259,1,0,2,0,3,2,450,217000
115,Crawfor,7259,6,8,2002,0,2320,1,0,2,1,3,1,180,259500
116,Somerst,3230,6,5,1999,1129,1458,0,0,2,1,2,1,440,176000
117,Sawyer,11616,5,5,1962,116,1092,0,1,1,0,3,1,288,139000
118,Edwards,8536,5,5,2007,0,1125,0,0,1,1,2,0,430,155000
119,SawyerW,12376,7,5,1990,0,3222,1,0,3,0,5,2,594,320000
120,CollgCr,8461,6,5,2006,0,1456,0,0,2,1,3,1,390,163990
121,ClearCr,21453,6,5,1969,0,988,1,0,1,0,1,2,540,180000
122,IDOTRR,6060,4,5,1950,0,1123,0,0,1,0,3,0,264,100000
123,NAmes,9464,6,7,1958,135,1080,0,0,1,0,3,0,288,136000
124,SawyerW,7892,6,5,1993,0,1199,0,0,2,0,2,0,530,153900
125,NWAmes,17043,6,5,1998,0,1586,0,0,2,0,3,1,435,181000
126,IDOTRR,6780,6,8,1982,0,754,1,0,1,0,2,0,0,84500
127,NPkVill,4928,6,5,1976,0,958,0,0,2,0,2,1,440,128000
128,OldTown,4388,5,7,1950,0,840,0,0,1,0,3,1,0,87000
129,NAmes,7590,6,5,1966,266,1348,0,0,1,1,3,1,453,155000
130,NAmes,8973,5,7,1991,85,1053,0,1,1,1,3,0,750,150000
131,NAmes,14200,7,6,1966,309,2157,0,0,2,1,4,2,487,226000
132,Gilbert,12224,6,5,2000,40,2054,1,0,2,1,3,1,390,244000
133,NAmes,7388,5,6,2002,0,1327,1,0,1,0,3,0,624,150750
134,Timber,6853,8,5,2002,136,1296,1,0,2,0,2,0,471,220000
135,Sawyer,10335,5,6,1993,0,1721,0,0,2,1,3,1,440,180000
136,NWAmes,10400,7,6,1970,288,1682,0,0,2,0,3,1,530,174000
137,NAmes,10355,5,5,1967,196,1214,0,0,2,0,3,1,318,143000
138,Mitchel,11070,7,5,1989,70,1959,0,0,3,0,5,0,766,171000
139,CollgCr,9066,8,5,2000,320,1852,0,0,2,1,3,2,660,230000
140,CollgCr,15426,6,5,1997,0,1764,1,0,2,1,3,0,470,231500
141,NAmes,10500,4,5,1971,0,864,0,0,1,0,3,1,0,115000
142,CollgCr,11645,7,5,2005,0,1734,1,0,2,0,3,0,660,260000
143,NAmes,8520,5,4,1952,0,1385,0,0,2,0,4,0,720,166000
144,CollgCr,10335,7,5,1999,183,1501,1,0,2,0,3,0,577,204000
145,Sawyer,9100,5,5,1963,336,1728,1,0,2,0,6,0,504,125000
146,Edwards,2522,6,5,2006,50,1709,0,0,2,0,3,0,380,130000
147,BrkSide,6120,5,7,1993,0,875,1,0,1,0,2,0,180,105000
148,Gilbert,9505,7,5,2001,180,2035,0,0,2,1,3,1,434,222500
149,SawyerW,7500,7,5,2005,120,1080,1,0,1,0,3,0,0,141000
150,BrkSide,6240,5,4,1950,0,1344,0,0,1,0,3,0,240,115000
151,CollgCr,10356,5,6,1975,0,969,0,0,1,1,3,0,440,122000
152,NridgHt,13891,8,5,2008,436,1710,1,0,2,0,2,1,866,372402
153,NWAmes,14803,6,5,1971,252,1993,0,0,2,1,4,1,495,190000
154,ClearCr,13500,6,7,1975,0,1252,1,0,1,0,1,1,564,235000
155,OldTown,11340,6,5,1950,0,1200,0,0,1,0,4,0,312,125000
156,Edwards,9600,6,5,1950,0,1096,0,0,1,0,2,0,0,79000
157,NAmes,7200,5,7,1950,0,1040,0,0,1,0,2,0,625,109500
158,Timber,12003,8,5,2010,84,1968,0,0,2,1,4,1,680,269500
159,Somerst,12552,7,5,2005,0,1947,0,0,2,1,3,1,678,254900
160,Gilbert,19378,7,5,2006,456,2462,1,0,2,1,4,1,576,320000
161,Veenker,11120,6,6,1984,0,1232,0,0,2,0,3,0,516,162500
162,NridgHt,13688,9,5,2004,664,2668,1,0,2,1,3,2,726,412500
163,NridgHt,12182,7,5,2005,226,1541,0,0,2,0,3,1,532,220000
164,OldTown,5500,4,6,1956,0,882,0,0,1,0,1,0,0,103200
165,OldTown,5400,6,7,2004,0,1616,0,0,2,0,3,0,216,152000
166,Edwards,10106,5,7,1999,0,1355,1,0,2,0,4,0,0,127500
167,ClearCr,10708,5,5,1993,0,1867,1,0,1,0,2,3,303,190000
168,NridgHt,10562,8,5,2007,300,2161,1,0,1,1,3,1,789,325624
169,Gilbert,8244,7,5,2004,0,1720,0,0,2,1,3,1,440,183500
170,Timber,16669,8,6,1981,653,1707,0,0,2,1,2,1,511,228000
171,OldTown,12358,5,6,1950,0,1382,0,0,1,1,2,0,660,128500
172,NAmes,31770,6,5,1960,112,1656,1,0,1,0,3,2,528,215000
173,StoneBr,5306,7,7,1987,0,1767,1,0,2,0,2,1,504,239000
174,NAmes,10197,6,5,1961,491,1362,1,0,1,1,3,1,504,163000
175,Timber,12416,6,5,1986,132,1651,1,0,2,0,3,1,616,184000
176,Edwards,12615,6,7,2001,0,2158,1,0,2,0,4,1,576,243000
177,ClearCr,10029,6,5,1989,268,2060,0,1,2,1,4,1,521,211000
178,Sawyer,13650,5,5,1958,0,1920,1,0,2,0,4,1,451,172500
179,StoneBr,17423,9,5,2009,748,2234,1,0,2,0,1,1,1166,501837
180,OldTown,8520,5,6,2006,0,968,0,0,1,0,2,0,480,100000
181,Somerst,2117,6,5,2000,456,1525,0,0,2,1,3,1,440,177000
182,Crawfor,7588,7,6,1950,0,1802,0,0,1,1,4,1,216,200100
183,Edwards,9060,5,6,2006,98,1340,0,0,1,0,3,1,252,120000
184,OldTown,11426,7,5,2003,0,2082,0,0,2,1,3,0,484,200000
185,BrkSide,7438,5,8,1991,0,1252,0,0,1,0,3,0,576,127000
186,OldTown,22950,10,9,1993,0,3608,0,0,2,1,4,2,840,475000
187,Mitchel,9947,7,5,1991,0,1217,1,0,2,0,3,0,497,173000
188,OldTown,10410,5,7,1987,0,1656,0,0,2,1,3,0,180,135000
189,SawyerW,7018,5,5,1979,275,1224,2,0,0,2,2,2,528,153337
190,StoneBr,4923,8,5,2002,0,1593,1,0,1,1,0,1,682,286000
191,Crawfor,10570,8,8,1994,0,2727,0,0,2,1,3,2,440,315000
192,NAmes,7472,7,9,2004,138,1479,1,0,1,1,4,0,484,184000
193,CollgCr,9017,7,5,1999,0,1431,1,0,2,0,3,0,666,192000
194,Edwards,2522,7,5,2004,50,1709,0,0,2,0,3,0,380,130000
195,CollgCr,7180,5,7,1972,0,864,0,0,1,0,3,0,352,127000
196,NPkVill,2280,6,6,1976,0,1456,0,0,2,1,3,1,440,148500
197,Somerst,9416,7,5,2007,205,1726,1,0,2,0,3,1,786,311872
198,NAmes,25419,8,4,1990,0,3112,1,1,2,0,4,1,795,235000
199,OldTown,5520,6,6,1950,0,2229,0,0,1,0,5,0,0,104000
200,NridgHt,9591,8,5,2005,262,1713,1,0,2,0,3,1,856,274900
201,Edwards,8546,4,5,2004,0,1121,0,0,2,0,2,0,440,140000
202,Mitchel,10125,6,6,1977,0,1279,0,1,2,0,3,2,473,171500
203,OldTown,7000,6,6,1950,0,1310,0,0,2,0,2,0,398,112000
204,CollgCr,4438,6,5,2004,205,848,1,0,1,0,1,1,420,149000
205,OldTown,3500,5,7,1950,0,1284,0,0,1,1,2,0,240,110000
206,Gilbert,11851,7,5,1990,0,1442,0,0,2,0,3,0,500,180500
207,Sawyer,13673,5,5,1962,0,1696,0,0,1,1,3,1,349,143900
208,NAmes,12493,4,5,1960,0,1100,1,0,1,0,3,1,312,141000
209,SawyerW,14364,7,5,1989,128,2062,1,0,2,1,3,1,454,277000
210,NAmes,8250,6,7,1964,260,1092,1,0,1,0,3,0,504,145000
211,Edwards,5604,5,6,1950,0,864,1,0,1,0,2,0,0,98000
212,Edwards,10420,6,5,2009,0,1212,0,0,2,0,3,0,460,186000
213,Somerst,8640,7,5,2009,0,1852,1,0,2,1,3,1,644,252678
214,CollgCr,13568,5,5,1995,0,990,0,1,1,0,3,0,576,156000
215,CollgCr,10900,6,7,1977,153,1392,0,0,1,1,3,0,299,161750
216,NAmes,10011,5,6,1996,64,1236,0,1,1,0,2,1,447,134450
217,CollgCr,8450,7,5,2004,266,1436,1,0,2,0,3,0,484,210000
218,OldTown,9906,4,4,1950,0,1328,0,0,1,0,3,0,210,107000
219,Crawfor,15660,7,9,2006,312,1954,0,1,1,1,3,2,431,311500
220,Blmngtn,3010,7,5,2006,16,1248,0,0,2,0,2,0,438,167240
221,CollgCr,8990,7,5,2006,0,1498,0,0,2,0,2,0,675,204900
222,Gilbert,8068,6,5,2002,0,2267,0,0,2,1,4,1,390,200000
223,NWAmes,11475,6,6,1975,0,1552,1,0,2,1,3,1,434,179900
224,NAmes,10500,4,6,1971,0,864,0,0,1,0,2,0,576,97000
225,NridgHt,13472,10,5,2003,922,2392,0,0,2,0,3,1,968,386250
226,BrDale,1680,5,5,1971,142,1302,0,0,2,1,3,0,280,112000
227,NoRidge,9950,7,5,1995,290,2520,0,0,2,1,4,1,721,290000
228,BrDale,1869,6,6,1970,127,987,0,0,1,1,2,0,280,106000
229,Sawyer,8521,5,5,1967,0,912,0,0,1,0,3,1,336,125000
230,Blmngtn,3182,7,5,2006,16,1555,0,0,2,0,2,1,430,192500
231,NAmes,8760,6,6,1959,220,1194,1,0,1,0,3,0,312,148000
232,NoRidge,15138,8,5,1996,506,2794,1,0,2,1,4,1,810,403000
233,BrDale,1680,6,5,1972,297,987,0,0,1,1,2,1,288,94500
234,CollgCr,10650,5,6,1976,0,894,1,0,1,0,3,0,308,128200
235,Gilbert,7851,6,5,2002,,1960,1,0,2,1,4,2,440,216500
236,BrDale,1680,6,3,1971,604,987,0,0,1,1,2,0,264,89500
237,CollgCr,8773,7,5,2004,98,1414,0,0,2,0,3,0,494,185500
238,SawyerW,9453,7,7,2003,0,1744,0,0,2,1,3,0,457,194500
239,NridgHt,12030,8,5,2007,254,1694,0,0,2,0,3,0,818,318000
240,Edwards,8741,6,4,1950,0,1487,0,0,1,1,3,1,220,113000
241,Somerst,9000,8,5,2008,36,1566,1,0,2,0,3,0,750,262500
242,OldTown,3880,5,9,1997,0,866,0,0,1,0,2,0,0,110500
243,OldTown,5000,5,4,1950,0,1440,0,0,1,0,3,0,352,79000
244,SawyerW,10762,6,6,1980,0,1217,0,0,1,1,3,1,288,120000
245,SawyerW,8880,7,5,2002,0,2110,1,0,2,1,3,2,463,205000
246,NWAmes,10400,7,5,1988,102,1872,0,1,2,0,3,1,604,241500
247,OldTown,9142,6,8,1950,0,1928,0,0,2,0,4,0,440,137000
248,NAmes,11310,6,5,1954,0,1375,0,0,1,0,2,1,451,140000
249,CollgCr,11317,7,5,2003,101,1668,0,0,2,1,3,0,500,180000
250,ClearCr,159000,6,7,2006,472,2144,0,1,2,0,4,2,389,277000
251,BrkSide,5350,3,2,1966,0,1306,0,0,1,0,3,0,0,76500
252,Crawfor,4750,8,5,2007,481,1625,1,1,2,0,2,1,538,235000
253,SawyerW,8366,6,5,2004,0,1640,0,0,2,1,3,0,520,173000
254,NAmes,9350,6,7,1991,108,1302,0,1,2,0,3,0,309,158000
255,NAmes,8400,5,6,1957,0,1314,1,0,1,0,3,0,294,145000
256,Gilbert,8738,7,5,1999,302,2291,0,0,2,1,4,1,429,230000
257,Somerst,8791,6,5,2003,0,1728,0,0,2,1,3,0,673,207500
258,CollgCr,8814,7,5,2006,180,1604,1,0,2,1,3,1,660,220000
259,CollgCr,12435,7,5,2001,172,1792,0,0,2,1,3,1,564,231500
260,OldTown,12702,5,5,1956,0,882,0,0,1,0,2,0,308,97000
261,NAmes,19296,6,5,1962,399,1382,1,0,1,0,3,1,884,176000
262,CollgCr,9588,8,5,2007,270,2574,0,0,2,1,3,1,868,276000
263,Sawyer,8471,6,7,1995,46,1212,1,0,1,0,3,1,492,151000
264,OldTown,5500,5,7,2001,0,1316,1,0,1,0,3,0,484,130000
265,OldTown,5232,5,5,2004,0,764,0,0,1,0,2,0,504,73000
266,NWAmes,12090,6,6,1981,210,1422,0,0,2,0,3,1,576,175500
267,Gilbert,11207,6,5,1997,0,1511,1,0,2,1,3,1,413,185000
268,SWISU,8400,5,8,1997,0,2192,0,0,2,1,4,1,240,179500
269,IDOTRR,6900,5,6,1955,0,778,0,0,1,0,2,1,924,120500
270,Edwards,7917,6,7,1976,174,1113,1,0,1,1,3,1,504,148000
271,Somerst,10728,8,5,2006,0,1939,0,0,2,1,3,1,1053,266000
272,ClearCr,39104,7,7,2005,0,1363,1,0,1,0,2,2,439,241500
273,NoRidge,11764,8,7,2007,348,2270,0,0,2,1,4,1,671,290000
274,NAmes,9600,6,6,1988,183,1632,1,0,2,0,3,1,338,139000
275,Mitchel,8314,5,7,1982,0,816,0,0,1,0,2,0,264,124500
276,BrkSide,7264,7,7,2007,0,1548,0,0,2,1,3,0,672,205000
277,Mitchel,9196,7,5,2003,0,1560,0,0,2,0,3,0,573,201000
278,Gilbert,19138,4,5,1951,0,864,0,0,1,0,2,0,400,141000
279,NridgHt,14450,9,5,2007,315,2121,0,0,2,1,3,1,732,415298
280,ClearCr,10005,7,5,1977,299,2022,0,0,2,1,4,1,505,192000
281,SawyerW,11287,7,6,1989,340,1982,0,0,2,1,3,1,575,228500
282,Somerst,7200,6,5,2006,68,1262,0,0,2,0,2,0,572,185000
283,NridgHt,5063,7,5,2008,166,1314,1,0,2,0,2,1,626,207500
284,Somerst,9612,8,5,2009,72,1468,0,0,2,0,3,1,898,244600
285,SawyerW,8012,6,5,1992,0,1575,1,0,2,0,2,0,529,179200
286,Somerst,4251,7,5,2007,0,1250,0,0,2,1,2,0,528,164700
287,NAmes,9786,6,7,1981,0,1734,0,0,1,1,3,1,440,159000
288,NAmes,8125,4,4,1971,0,858,0,0,1,0,3,0,0,88000
289,Sawyer,9819,5,5,1967,31,900,0,0,1,0,3,0,280,122000
290,BrkSide,8730,6,7,2003,0,1396,0,0,1,0,3,0,384,153575
291,CollgCr,15611,8,5,2006,0,1919,0,0,2,1,3,1,685,233230
292,SWISU,5687,5,6,2000,0,1716,1,0,2,0,6,0,0,135900
